Nhosts;FreqImmH1;FreqImmH2;FreqImmH3;FreqImmH4;FreqImmH5;FreqImmH6;FreqInfH1;FreqInfH2;FreqInfH3;FreqInfH4;FreqInfH5;FreqInfH6;Nparasits;FreqImmP1;FreqImmP2;FreqImmP3;FreqImmP4;FreqImmP5;FreqImmP6;FreqInfP1;FreqInfP2;FreqInfP3;FreqInfP4;FreqInfP5;FreqInfP6
92.0;0.03260869565217391;0.15217391304347827;0.125;0.005434782608695652;0.43478260869565216;0.25;0.05434782608695652;0.3804347826086957;0.18478260869565216;0.03804347826086957;0.3423913043478261;0.0;81.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8378378378378378;0.16216216216216217;0.0;0.0;0.0
102.0;0.04411764705882353;0.15196078431372548;0.14215686274509803;0.014705882352941176;0.4411764705882353;0.20588235294117646;0.0784313725490196;0.3382352941176471;0.19607843137254902;0.049019607843137254;0.3382352941176471;0.0;85.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9;0.1;0.0;0.0;0.0
96.0;0.046875;0.14583333333333334;0.15104166666666666;0.015625;0.4322916666666667;0.20833333333333334;0.06770833333333333;0.3645833333333333;0.16666666666666666;0.07291666666666667;0.328125;0.0;78.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.918918918918919;0.08108108108108109;0.0;0.0;0.0
97.0;0.05670103092783505;0.10824742268041238;0.12371134020618557;0.020618556701030927;0.4690721649484536;0.22164948453608246;0.06701030927835051;0.35051546391752575;0.14432989690721648;0.08762886597938144;0.35051546391752575;0.0;81.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9351851851851852;0.06481481481481481;0.0;0.0;0.0
100.0;0.06;0.11;0.115;0.015;0.465;0.235;0.06;0.355;0.135;0.075;0.375;0.0;92.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9368421052631579;0.06315789473684211;0.0;0.0;0.0
99.0;0.06060606060606061;0.15151515151515152;0.10606060606060606;0.020202020202020204;0.43434343434343436;0.22727272727272727;0.06565656565656566;0.3181818181818182;0.13131313131313133;0.09595959595959595;0.3838383838383838;0.005050505050505051;82.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.87;0.13;0.0;0.0;0.0
105.0;0.05238095238095238;0.15714285714285714;0.09523809523809523;0.023809523809523808;0.4095238095238095;0.2619047619047619;0.09047619047619047;0.3238095238095238;0.10952380952380952;0.1;0.3761904761904762;0.0;77.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8823529411764706;0.11764705882352941;0.0;0.0;0.0
106.0;0.0330188679245283;0.15566037735849056;0.09433962264150944;0.018867924528301886;0.42452830188679247;0.27358490566037735;0.09433962264150944;0.3160377358490566;0.09433962264150944;0.12264150943396226;0.37264150943396224;0.0;78.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.7972972972972973;0.20270270270270271;0.0;0.0;0.0
93.0;0.04838709677419355;0.14516129032258066;0.10215053763440861;0.016129032258064516;0.43010752688172044;0.25806451612903225;0.10215053763440861;0.26881720430107525;0.0913978494623656;0.15053763440860216;0.3870967741935484;0.0;77.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6470588235294118;0.35294117647058826;0.0;0.0;0.0
84.0;0.03571428571428571;0.13690476190476192;0.08928571428571429;0.011904761904761904;0.47619047619047616;0.25;0.13095238095238096;0.27976190476190477;0.07738095238095238;0.16666666666666666;0.34523809523809523;0.0;68.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.647887323943662;0.352112676056338;0.0;0.0;0.0
